RegionName,State,Beds,6/30/2023
New York,NY,1,561562.1151
Los Angeles,CA,1,579354.8581
Houston,TX,1,128082.8186
Chicago,IL,1,237352.2595
San Antonio,TX,1,128153.587
Philadelphia,PA,1,280725.6039
Phoenix,AZ,1,251285.5505
Las Vegas,NV,1,192529.4142
San Diego,CA,1,503331.253
Dallas,TX,1,172079.7584
Austin,TX,1,392719.491
San Jose,CA,1,586491.725
Jacksonville,FL,1,164116.3452
Charlotte,NC,1,269936.9265
Indianapolis,IN,1,131559.3027
Fort Worth,TX,1,203250.7467
Orlando,FL,1,165142.8342
San Francisco,CA,1,781328.5375
Tucson,AZ,1,187845.6312
Columbus,OH,1,161749.0859
Miami,FL,1,392103.1668
Louisville,KY,1,117168.6971
El Paso,TX,1,126283.8049
Denver,CO,1,340904.1579
Seattle,WA,1,456453.7134
Portland,OR,1,334177.827
Nashville,TN,1,327753.8506
Washington,DC,1,403542.378
Sacramento,CA,1,351072.826
Boston,MA,1,584317.6818
Detroit,MI,1,134729.6541
Pittsburgh,PA,1,155425.3715
Albuquerque,NM,1,183545.649
Memphis,TN,1,126911.6003
Fresno,CA,1,172566.4498
Baltimore,MD,1,162185.9969
Omaha,NE,1,152572.1249
Atlanta,GA,1,275066.6242
Milwaukee,WI,1,193531.6155
Oklahoma City,OK,1,93762.94801
Raleigh,NC,1,286329.9393
Mesa,AZ,1,208385.9136
Colorado Springs,CO,1,278196.434
Buffalo,NY,1,163062.5303
Kansas City,MO,1,148479.7565
Rochester,NY,1,126457.3183
Cincinnati,OH,1,164712.1184
Long Beach,CA,1,451388.941
Virginia Beach,VA,1,215246.7916
Bakersfield,CA,1,165724.7159
Tampa,FL,1,222913.6795
Oakland,CA,1,504240.551
Tulsa,OK,1,94730.59719
Minneapolis,MN,1,192164.6494
Aurora,CO,1,229959.1719
Spring,TX,1,141575.3193
Honolulu,HI,1,431173.7812
Knoxville,TN,1,180838.8287
Arlington,TX,1,157580.1787
